representative,fold,component_id,forms,disagreement_g1_same,disagreement_g2_same,disagreement_pairs,aligned_switches,reverse_switches,delta,switch_coverage,correct_switch_share,directional_identity
shortest,1,30150,29,160,0,160,0,0,0.0,0.0,nan,0.0
shortest,1,30170,12,36,0,36,0,0,0.0,0.0,nan,0.0
shortest,1,30207,38,467,0,467,0,0,0.0,0.0,nan,0.0
shortest,1,30214,9,20,0,20,0,0,0.0,0.0,nan,0.0
shortest,2,15,24,203,0,203,0,0,0.0,0.0,nan,0.0
shortest,2,49,14,24,0,24,0,0,0.0,0.0,nan,0.0
shortest,2,59,25,156,0,156,0,0,0.0,0.0,nan,0.0
shortest,2,120,16,60,0,60,0,0,0.0,0.0,nan,0.0
shortest,2,155,13,48,0,48,0,0,0.0,0.0,nan,0.0
shortest,2,180,24,23,0,23,0,0,0.0,0.0,nan,0.0
shortest,2,209,77,2399,0,2399,3,0,0.0012505210504376823,0.0012505210504376823,1.0,0.0012505210504376823
shortest,2,221,11,30,0,30,12,0,0.4,0.4,1.0,0.4
shortest,2,226,66,1829,0,1829,0,0,0.0,0.0,nan,0.0
shortest,2,253,13,22,0,22,0,0,0.0,0.0,nan,0.0
shortest,2,266,38,419,0,419,0,0,0.0,0.0,nan,0.0
shortest,2,288,4,4,0,4,0,0,0.0,0.0,nan,0.0
shortest,2,303,18,17,0,17,0,0,0.0,0.0,nan,0.0
shortest,2,313,11,18,0,18,0,0,0.0,0.0,nan,0.0
shortest,2,317,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,2,349,19,100,0,100,0,0,0.0,0.0,nan,0.0
shortest,2,371,14,65,0,65,0,0,0.0,0.0,nan,0.0
shortest,2,410,23,113,0,113,7,0,0.061946902654867256,0.061946902654867256,1.0,0.061946902654867256
shortest,2,420,20,147,0,147,8,0,0.05442176870748299,0.05442176870748299,1.0,0.05442176870748299
shortest,2,421,30,243,0,243,17,0,0.06995884773662552,0.06995884773662552,1.0,0.06995884773662552
shortest,2,450,193,17409,0,17409,17,0,0.000976506404733184,0.000976506404733184,1.0,0.000976506404733184
shortest,2,460,38,506,0,506,0,0,0.0,0.0,nan,0.0
shortest,2,469,64,1589,0,1589,18,0,0.011327879169288861,0.011327879169288861,1.0,0.011327879169288861
shortest,2,502,39,549,0,549,0,0,0.0,0.0,nan,0.0
shortest,2,503,21,68,0,68,68,0,1.0,1.0,1.0,1.0
shortest,2,530,20,51,0,51,0,0,0.0,0.0,nan,0.0
shortest,2,543,7,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,2,545,63,1528,0,1528,0,0,0.0,0.0,nan,0.0
shortest,2,558,12,36,0,36,0,0,0.0,0.0,nan,0.0
shortest,2,582,132,8076,0,8076,0,0,0.0,0.0,nan,0.0
shortest,2,588,10,25,0,25,0,0,0.0,0.0,nan,0.0
shortest,2,630,18,32,0,32,0,0,0.0,0.0,nan,0.0
shortest,2,648,6,9,0,9,0,0,0.0,0.0,nan,0.0
shortest,2,679,15,84,0,84,0,0,0.0,0.0,nan,0.0
shortest,2,694,13,22,0,22,22,0,1.0,1.0,1.0,1.0
shortest,2,711,19,34,0,34,0,0,0.0,0.0,nan,0.0
shortest,2,725,26,253,0,253,0,0,0.0,0.0,nan,0.0
shortest,2,751,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,2,761,110,5648,0,5648,123,0,0.021777620396600566,0.021777620396600566,1.0,0.021777620396600566
shortest,2,763,7,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,2,885,3,2,0,2,0,0,0.0,0.0,nan,0.0
shortest,2,914,4,4,0,4,0,0,0.0,0.0,nan,0.0
shortest,2,925,52,1034,0,1034,80,0,0.07736943907156674,0.07736943907156674,1.0,0.07736943907156674
shortest,2,949,30,269,0,269,84,0,0.31226765799256506,0.31226765799256506,1.0,0.31226765799256506
shortest,2,997,371,65717,0,65717,2,32,-0.00045650288357654793,0.0005173699347200876,0.058823529411764705,-0.00045650288357654793
shortest,2,1000,23,204,0,204,0,0,0.0,0.0,nan,0.0
shortest,2,1021,8,12,0,12,0,0,0.0,0.0,nan,0.0
shortest,2,1024,16,79,0,79,0,0,0.0,0.0,nan,0.0
shortest,2,1026,31,338,0,338,0,0,0.0,0.0,nan,0.0
shortest,2,1073,35,426,0,426,0,0,0.0,0.0,nan,0.0
shortest,2,1103,5,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,2,1127,26,173,0,173,0,0,0.0,0.0,nan,0.0
shortest,2,1153,14,33,0,33,0,0,0.0,0.0,nan,0.0
shortest,2,1168,36,491,0,491,0,0,0.0,0.0,nan,0.0
shortest,2,1189,111,5287,0,5287,12,0,0.0022697181766597315,0.0022697181766597315,1.0,0.0022697181766597315
shortest,2,1195,12,20,0,20,0,0,0.0,0.0,nan,0.0
shortest,2,1199,10,36,0,36,0,0,0.0,0.0,nan,0.0
shortest,2,1224,49,848,0,848,0,0,0.0,0.0,nan,0.0
shortest,2,1233,28,187,0,187,0,0,0.0,0.0,nan,0.0
shortest,2,1245,10,9,0,9,0,0,0.0,0.0,nan,0.0
shortest,2,1259,13,22,0,22,22,0,1.0,1.0,1.0,1.0
shortest,2,1271,9,18,0,18,0,0,0.0,0.0,nan,0.0
shortest,2,1299,10,28,0,28,4,0,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285
shortest,2,1356,10,27,0,27,0,0,0.0,0.0,nan,0.0
shortest,2,1434,17,66,0,66,0,0,0.0,0.0,nan,0.0
shortest,2,1508,18,17,0,17,0,0,0.0,0.0,nan,0.0
shortest,2,1509,6,5,0,5,0,1,-0.2,0.2,0.0,-0.2
shortest,2,1513,14,60,0,60,0,0,0.0,0.0,nan,0.0
shortest,2,1524,40,465,0,465,0,0,0.0,0.0,nan,0.0
shortest,2,1525,11,38,0,38,0,0,0.0,0.0,nan,0.0
shortest,2,1550,11,30,0,30,0,0,0.0,0.0,nan,0.0
shortest,2,1564,25,46,0,46,0,0,0.0,0.0,nan,0.0
shortest,2,1574,7,6,0,6,0,0,0.0,0.0,nan,0.0
shortest,2,1616,10,25,0,25,0,0,0.0,0.0,nan,0.0
shortest,2,1629,3,2,0,2,0,0,0.0,0.0,nan,0.0
shortest,2,1644,7,10,0,10,0,0,0.0,0.0,nan,0.0
shortest,2,1645,2,1,0,1,0,0,0.0,0.0,nan,0.0
shortest,2,1664,42,531,0,531,0,0,0.0,0.0,nan,0.0
shortest,2,1682,19,100,0,100,22,0,0.22,0.22,1.0,0.22
shortest,2,1690,7,16,0,16,0,0,0.0,0.0,nan,0.0
shortest,2,1736,11,34,0,34,18,0,0.5294117647058824,0.5294117647058824,1.0,0.5294117647058824
shortest,2,1748,120,6556,0,6556,0,0,0.0,0.0,nan,0.0
